Año,Mes,Día,Max_T,Min_T,Av_Temp,Hi_speed,Bar  ,Rain,Rain_rate,UV_index,Solar_rad
2017,11,3,"12,80","6,30","9,29","30,60","941,86","0,00","0,00","7,40","277,06"
2017,11,4,"13,90","4,80","8,34","32,20","939,86","8,20","0,66","4,00","118,38"
2017,11,5,"15,30","7,80","10,74","16,10","940,94","2,80","0,21","5,40","114,00"
2017,11,6,"17,50","7,20","11,40","14,50","942,81","0,00","0,00","6,60","155,54"
2017,11,7,"16,10","9,80","11,95","29,00","940,69","1,60","0,19","6,50","130,65"
2017,11,8,"18,30","5,40","11,31","30,60","942,11","0,00","0,00","8,60","311,00"
2017,11,9,"15,80","6,70","10,77","32,20","942,73","0,80","0,10","5,70","168,42"
2017,11,10,"21,30","5,90","13,18","22,50","943,65","0,00","0,00","9,10","313,25"
2017,11,11,"23,00","6,00","14,10","29,00","940,63","0,00","0,00","9,20","300,73"
2017,11,12,"21,70","9,70","15,50","27,40","939,22","0,00","0,00","9,80","273,52"
2017,11,13,"23,40","8,60","15,50","25,70","939,47","0,00","0,00","10,00","312,71"
2017,11,14,"18,30","7,10","13,65","33,80","937,00","0,20","0,00","9,50","306,00"
2017,11,15,"11,00","5,70","8,19","41,80","942,92","0,20","0,00","8,10","275,92"
2017,11,16,"12,00","7,40","9,80","49,90","939,42","2,00","0,11","3,40","87,02"
2017,11,17,"10,90","5,70","8,01","38,60","943,03","0,40","0,00","8,20","341,04"
2017,11,18,"14,00","5,40","9,31","40,20","942,30","0,00","0,00","8,80","227,29"
2017,11,19,"14,80","7,70","11,06","29,00","940,19","0,00","0,00","9,20","271,04"
2017,11,20,"17,60","4,50","10,87","27,40","941,63","0,00","0,00","8,70","332,35"
2017,11,21,"19,20","6,40","12,55","29,00","945,16","0,00","0,00","9,60","326,27"
2017,11,22,"19,10","7,90","13,21","33,80","940,89","0,00","0,00","8,80","330,38"
2017,11,23,"19,80","6,70","12,63","30,60","940,80","0,00","0,00","9,10","334,02"
